song,artist
lovin on me,jack harlow
lil boo thang,paul russell
white horse,chris stapleton
i remember everything (feat. kacey musgraves),zach bryan
around me the cold night,luminara stellaris
need a favor,jelly roll
save me (with lainey wilson),jelly roll
90s rap mashup,austin williams
next winter i will wait for you forever,luminara stellaris
standing next to you,jung kook
cruel summer,taylor swift
3d,jung kook & jack harlow
even though i know you,luminara stellaris
thinkin’ bout me,morgan wallen
all i want for christmas is you,mariah carey
christmas / sarajevo 12/24 (instrumental),trans-siberian orchestra
in the sky a white cloud drifted lazily,luminara stellaris
greedy,tate mcrae
standing next to you (band version),jung kook
fast car,luke combs
now and then,the beatles
sin so sweet,warren zeiders
standing next to you (future funk remix),jung kook
standing next to you (slow jam remix),jung kook
standing next to you (holiday remix),jung kook
standing next to you (instrumental),jung kook
lose control,teddy swims
standing next to you (latin trap remix),jung kook
standing next to you (pbr&b remix),jung kook
houdini,dua lipa
water,tyla
now i know i know i've lost you,luminara stellaris
rockin' around the christmas tree (single),brenda lee
last night,morgan wallen
where the wild things are,luke combs
the wind brings winter,luminara stellaris
paint the town red,doja cat
fairytale of philadelphia,"the philly specials, jason kelce & travis kelce"
still not fade the footprints,luminara stellaris
why don't you tell the truth ?,the day you
tonight i dreamed a pink dream,luminara stellaris
wrap me up,jimmy fallon & meghan trainor
you don't need to worry,the day you
my heart has come back,luminara stellaris
flyin' pass (single),caldwell
i still miss you every time dusk falls,luminara stellaris
if you dont have one-the day you,the day you
the pink rays of sunlight disappear,luminara stellaris
rich men north of richmond,oliver anthony music
the buds of youth are still lingering there,luminara stellaris
weather forecast today rain,the day you
to be a man (feat. darius rucker),dax
can’t catch me now (from the hunger games: the ballad of songbirds & snakes),olivia rodrigo
better place (from trolls band together),*nsync & justin timberlake
wild ones (extended version),jessie murph & jelly roll
karma,taylor swift
used to be young,miley cyrus
evil ways (feat. j. cole),drake
forever settled inside me,luminara stellaris
snowman,sia
save me,jelly roll
my arms are spread wide with joy,luminara stellaris
so it's sad to be apart,luminara stellaris
please stay don't go,the day you
fancy like christmas,walker hayes
seven (explicit ver.),jung kook & latto
the christmas song (merry christmas to you),"nat ""king"" cole"
you broke my heart,drake
exes,tate mcrae
watermelon moonshine,lainey wilson
monaco,bad bunny
islands in the stream,dolly parton & kenny rogers
anti-hero,taylor swift
the painter,cody johnson
is it over now? (taylor's version) [from the vault],taylor swift
those who leave will not return,luminara stellaris
tennessee whiskey,chris stapleton
lover,taylor swift
son of a sinner,jelly roll
dance the night,dua lipa
gratitude,brandon lake
autumn comes dry,luminara stellaris
wizards in winter (instrumental),trans-siberian orchestra
bigger than the whole sky,taylor swift
"what was i made for? [from the motion picture ""barbie""]",billie eilish
the chipmunk song (christmas don't be late),alvin & the chipmunks
see you in another time,the day you
stay with me santa (mrs. claus' christmas wish),smith
missing the fragrant afternoon,luminara stellaris
i hold the storm in my heart,the day you
daylight,david kushner
keith,kaylee bell
truck bed,hardy
white christmas,bing crosby
flowers,miley cyrus
vampire,olivia rodrigo
pretty little poison,warren zeiders
presha,2 chainz & lil wayne
strangers,kenya grace
g6,2 chainz & lil wayne
snooze,sza
i remember everything,zach bryan featuring kacey musgraves
greedy,tate mcrae
thinkin' bout me,morgan wallen
agora hills,doja cat
rich baby daddy,drake featuring sexyy red & sza
all i want for christmas is you,mariah carey
fukumean,gunna
vampire,olivia rodrigo
monaco,bad bunny
first person shooter,drake featuring j. cole
idgaf,drake featuring yeat
what was i made for?,billie eilish
good good,"usher, summer walker & 21 savage"
my love mine all mine,mitski
stick season,noah kahan
last christmas,wham!
now that we don't talk (taylor's version) [from the vault],taylor swift
dial drunk,noah kahan with post malone
what it is (block boy),doechii featuring kodak black
kill bill,sza
northern attitude,noah kahan with hozier
jingle bell rock,bobby helms
harley quinn,fuerza regida & marshmello
i know ?,travis scott
wild ones,jessie murph & jelly roll
a holly jolly christmas,burl ives
barbie world,nicki minaj & ice spice with aqua
world on fire,nate smith
on my mama,victoria monet
slut! (taylor's version) [from the vault],taylor swift
standing next to you,jung kook
500lbs,lil tecca
say don't go (taylor's version) [from the vault],taylor swift
bad idea right?,olivia rodrigo
great gatsby,rod wave
get him back!,olivia rodrigo
can't have mine,dylan scott
virginia beach,drake
everything i love,morgan wallen
standing room only,tim mcgraw
try that in a small town,jason aldean
cobra,megan thee stallion
truck bed,hardy
qlona,karol g & peso pluma
too much,"the kid laroi, jung kook & central cee"
perro negro,bad bunny & feid
hey driver,zach bryan featuring the war and treaty
style (taylor's version),taylor swift
rich men north of richmond,oliver anthony music
meltdown,travis scott featuring drake
bongos,cardi b & megan thee stallion
slime you out,drake featuring sza
segun quien,maluma & carin leon
que onda,calle 24 x chino pacas x fuerza regida
single soon,selena gomez
burn it down,parker mccollum
lala,myke towers
bad blood (taylor's version),taylor swift
can't catch me now,olivia rodrigo
turks & caicos,rod wave featuring 21 savage
skeeyee,sexyy red
out of the woods (taylor's version),taylor swift
wildest dreams (taylor's version),taylor swift
el amor de su vida,grupo frontera & grupo firme
save me the trouble,dan + shay
stars like confetti,dustin lynch
lalalala,stray kids
seven,jung kook featuring latto
suburban legends (taylor's version) [from the vault],taylor swift
blank space (taylor's version),taylor swift
we don't fight anymore,carly pearce featuring chris stapleton
smurk carter,lil durk
mi ex tenia razon,karol g
different 'round here,riley green featuring luke combs
but i got a beer in my hand,luke bryan
better than ever,youngboy never broke again & rod wave
soak city (do it),310babii
